date_time,device_id,factor1,factor2,factor3,factor4,factor5,factor6,factor7,fault_name,fault_class
18-01-2018 08:00,1,27.2,60,39.5,706.1,172.8,8.2,0,Inverter Status Alarm,no
18-01-2018 17:15,1,26.2,101,37.4,736.2,169.6333333,20.6,0,Inverter Status Alarm,no
19-01-2018 08:30,1,31.3,55,45.9,720,172.7,7.7,1,Inverter Status Alarm,no
19-01-2018 17:15,1,31.3,114,43.3,764.4,170.9,18.8,1,Inverter Status Alarm,no
19-01-2018 17:30,1,15.5,54,24,684.8,170.4666667,17,1,Inverter Status Alarm,no
20-01-2018 07:45,1,14.2,53,22.8,645.2,172.0333333,4.6,0,Inverter Status Alarm,no
20-01-2018 08:30,1,60.8,265,76.5,831.9,171.3333333,10.5,1,Message Faukt 1,no
20-01-2018 17:30,1,18.2,88,28.3,687.5,171.0333333,17.8,0,Inverter Status Alarm,no
21-01-2018 08:00,1,28.2,115,40.9,699.7,173.1333333,5.3,0,Inverter Status Alarm,no
21-01-2018 17:20,1,29.7,128,41.7,739.9,172.5333333,20.2,0,Inverter Status Alarm,no
24-01-2018 12:15,1,484.5,858,720.6,688.2,169.0333333,19.6,1,Message Fault 7,no
25-01-2018 17:00,1,29.7,58,42.5,700.8,171.2666667,13.4,0,Inverter Status Alarm,no
28-01-2018 17:30,1,30.7,75,42.7,739.1,170.9,15.3,1,Inverter Status Alarm,no
31-01-2018 07:45,1,27.2,58,40.2,712.5,172.4333333,10,1,Inverter Status Alarm,no
01-02-2018 17:30,1,25.7,71,37.4,738.3,171,19.6,1,Inverter Status Alarm,no
03-02-2018 07:45,1,20.9,59,30.4,695.9,171.8,4.6,0,Inverter Status Alarm,no
03-02-2018 17:30,1,30.7,123,42.6,757.3,171.1333333,20,1,Inverter Status Alarm,no
03-02-2018 17:45,1,14.8,55,23.3,694.9,170.7333333,17.4,1,Inverter Status Alarm,no
04-02-2018 07:45,1,21.2,80,30.6,736.5,172.9333333,7.3,1,Inverter Status Alarm,no
04-02-2018 17:30,1,29.2,57,43.1,725.9,169.9333333,17.5,0,Inverter Status Alarm,no
06-02-2018 08:00,1,23.8,81,34.7,712.8,173.2333333,7.3,0,Inverter Status Alarm,no
06-02-2018 17:45,1,16.8,68,24.6,734.1,169.3333333,16.4,1,Inverter Status Alarm,no
07-02-2018 17:45,1,18.2,63,29,652.7,170.9,17.2,1,Inverter Status Alarm,no
08-02-2018 17:45,1,21.9,57,31.2,716.9,175.8333333,19.1,0,Inverter Status Alarm,no
09-02-2018 07:45,1,25.1,64,36.4,738.8,173.3666667,3.7,0,Inverter Status Alarm,no
09-02-2018 17:30,1,31.8,100,43.8,761.2,170.5666667,20.5,0,Inverter Status Alarm,no
10-02-2018 17:45,1,18.9,72,27.5,741.9,172.2,19.9,0,Inverter Status Alarm,no
12-02-2018 10:45,1,348.2,585,538.9,660,169.7333333,19.3,3,Message Faukt 1,no
14-02-2018 07:45,1,28.8,96,40.8,739.9,173.7666667,8.7,1,Inverter Status Alarm,no
15-02-2018 07:45,1,28,66,45.3,643.8,172.7666667,8.6,0,Inverter Status Alarm,no
15-02-2018 17:45,1,0,63,0.2,821.5,173.4666667,17.9,1,Inverter Status Alarm,yes
18-02-2018 07:50,1,27.4,50,42.7,683.4,172.9666667,8.1,0,Inverter Status Alarm,no
20-02-2018 12:20,1,513.9,877,819.8,648,172.8333333,28.3,1,Message Fault 7,no
21-02-2018 17:45,1,25.5,52,38.6,698.7,170.8666667,23.8,0,Inverter Status Alarm,no
23-02-2018 08:25,1,157.3,255,209.5,763.7,173.7666667,18.7,0,Message Fault 4,no
23-02-2018 08:30,1,176.5,283,238.9,755.8,173.8666667,19.9,0,Message Fault 5,no
23-02-2018 12:20,1,415.7,677,643.4,664.1,170.2666667,28.5,2,Message Fault 7,no
23-02-2018 17:15,1,112.2,212,165.6,687.1,172.0666667,26.2,1,Message Fault 4,no
24-02-2018 07:45,1,31.3,54,45.9,708.6,173.3333333,15.8,1,Inverter Status Alarm,no
26-02-2018 17:45,1,30.7,61,44.3,719.5,172.8,21.5,1,Inverter Status Alarm,no
05-03-2018 07:20,1,26.6,51,36.8,690.6,176.3333333,9.6,0,Inverter Status Alarm,no
12-03-2018 12:15,1,520.6,851,850.3,631,171.4,31.4,2,Inverter Status Alarm,no
12-03-2018 18:00,1,31.1,68,45.6,700.8,173,25.9,1,Inverter Status Alarm,no
18-03-2018 18:05,1,22.5,58,36.7,650.6,170.8333333,24.9,1,Inverter Status Alarm,no
19-03-2018 18:05,1,22,56,36.8,648.8,171.4666667,24.4,0,Inverter Status Alarm,no
21-03-2018 14:25,1,500.6,777,784.6,649.8,169.4333333,23.8,3,Message Fault 4,no
21-03-2018 15:20,1,165.9,238,240.2,707.4,170.5,24.2,1,Inverter Status Alarm,no
21-03-2018 17:20,1,65.4,99,93.3,711.8,169.7666667,21.9,1,Inverter Status Alarm,no
24-03-2018 18:05,1,28.5,59,45.4,635.5,171.1666667,25.8,2,Inverter Status Alarm,no
04-04-2018 09:10,1,279.1,417,415.3,678.9,171.4666667,32.6,1,Message Fault 4,no
13-04-2018 10:25,1,484.7,785,776.6,638.4,169.4333333,36,2,Inverter Error Status Alarm,no
22-04-2018 06:35,1,29.8,54,46.8,666.9,170.4,18.4,1,Inverter Status Alarm,no
23-04-2018 06:35,1,28.7,54,45.5,668.2,166,20,1,Inverter Status Alarm,no
27-04-2018 06:35,1,28.1,50,44.1,648.4,166.5333333,23.4,1,Inverter Status Alarm,no
28-04-2018 06:50,1,32,61,50.9,643.1,171.8,25.6,2,Inverter Status Alarm,no
28-04-2018 18:05,1,0,70,0.9,764.9,171.4,36.7,0,Inverter Status Alarm,yes
29-04-2018 18:05,1,28,64,48.8,609.2,171.7,37.2,3,Inverter Status Alarm,no
30-04-2018 06:35,1,25.9,51,41.8,650.5,167.5,24,1,Inverter Status Alarm,no
01-05-2018 18:05,1,29.8,72,49.7,617.1,171.8,35.7,8,Inverter Status Alarm,no
07-05-2018 17:50,1,29.2,53,50.6,615.6,169.8333333,34.8,4,Inverter Status Alarm,no
15-05-2018 06:35,1,0.1,54.06563187,0.6,801.1,173.5333333,25.29400063,1.241289973,Inverter Status Alarm,yes
15-05-2018 18:20,1,30.2,55.33732986,50.9,623.8,169.9,36.72999954,2.014291048,Inverter Status Alarm,no
22-05-2018 09:15,1,0,617.3242798,2.3,845.3,0.433333333,35.73300171,2.332406998,Message Fault 4,yes
22-05-2018 09:25,1,345.3,650.1262207,532.5,657.1,168.2,35.86100006,1.13639605,Invertrer DC Status,no
22-05-2018 17:05,1,0,286.5307922,0.2,805.3,182.8,41.6230011,3.055147886,Message Fault 2,yes
27-05-2018 18:20,1,30.8,56.85102844,51.8,610.1,172.1333333,40.34700012,1.063984036,Inverter Status Alarm,no
05-06-2018 18:20,1,35.2,70.33525085,57.9,628.6,172.2666667,40.22800064,2.717576981,Inverter Status Alarm,no
08-06-2018 07:25,1,105,192.1979065,158.4,665,172.3,31.98999977,1.317800999,Message Fault 7,no
10-06-2018 06:30,1,46.1,74.60346222,70.2,681,172.1666667,25.16500092,0.672230184,Inverter Error Status Alarm,no
10-06-2018 06:50,1,68.4,109.9898987,100.1,684.9,171.9333333,25.84600067,0.673313379,Message Fault 6,no
10-06-2018 12:20,1,270.3,446.7557983,432,640.9,168.3,33.91600037,0.684018075,Invertrer DC Status,no
14-06-2018 18:05,1,30.8,61.5311203,51.2,623.4,168.8333333,39.12099838,1.965157032,Inverter Status Alarm,no
16-06-2018 07:05,1,31.2,63.1941185,49.7,644.8,172.0333333,31.8579998,1.278395057,Inverter Status Alarm,no
16-06-2018 17:55,1,27,62.80797958,46.3,614.5,168.0666667,36.81000137,0.985426307,Inverter Status Alarm,no
26-06-2018 06:55,1,30.1,56.18170929,49.7,634.3,176.0333333,29.57999992,0.676725924,Inverter Status Alarm,no
17-07-2018 16:55,1,199.9,202.5774994,295.3,695.3,169.5333333,32.52700043,1.316944957,Message Fault 5,no
21-07-2018 06:55,1,30.9,53.36026001,50.6,626.1,168.3666667,28.89999962,0.677610874,Inverter Status Alarm,no
